product_name,image,price,description,category_id,created_at,modified_at
Tasty Steel Hat,https://source.unsplash.com/random/?hat&1,45,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,10,2023-04-02,NULL
Gorgeous Rubber Chicken,https://source.unsplash.com/random/?chicken&1,200,The automobile layout consists of a front-engine design with transaxle-type transmissions mounted at the rear of the engine and four wheel drive,2,2023-06-02,NULL
Luxurious Wooden Computer,https://source.unsplash.com/random/?computer&1,89,Andy shoes are designed to keeping in mind durability as well as trends,3,2023-05-13,NULL
Electronic Concrete Gloves,https://source.unsplash.com/random/?glove&1,455,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients With the Goodness of 100% Natural Ingredients,4,2023-03-13,NULL
Refined Steel Towels,https://source.unsplash.com/random/?towels&1,54,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,5,2023-07-02,NULL
Ergonomic Frozen Bike,https://source.unsplash.com/random/?bike&1,300,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,6,2023-01-22,NULL
Modern Soft Bike,https://source.unsplash.com/random/?bike&1,599,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,7,2023-06-30,NULL
Fantastic Frozen Soap,https://source.unsplash.com/random/?soap&1,230,The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes that started with the 1984 ABC800J,8,2023-03-09,NULL
Electronic Bronze Pants,https://source.unsplash.com/random/?pants&1,79,The automobile layout consists of a front-engine design with transaxle-type transmissions mounted at the rear of the engine and four wheel drive,9,2023-04-03,NULL
Elegant Metal Towels,https://source.unsplash.com/random/?towels&1,65,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,6,2023-02-28,NULL